id,orig_id,variante,pregunta,model,status,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens,thinking_tokens,text_tokens,thinking_chars,text_chars,time_s,stop_reason,error
1,1,1,¿Me puedes decir cuantas prescripciones hay registradas en total?,claude-opus-5-5,ok,80,0,0,426,58,368,190,851,5.7328,end_turn,
2,1,2,Dime cuantas prescripciones hay registradas en total,claude-opus-5-5,ok,73,0,0,487,51,436,194,964,5.5426,end_turn,
3,1,3,Necesito saber cuantas prescripciones existen registradas en total,claude-opus-5-5,ok,76,0,0,536,61,475,182,1033,5.689,end_turn,
4,1,4,Quiero saber cuantas prescripciones hay documentadas en total,claude-opus-5-5,ok,77,0,0,326,50,276,150,679,4.4233,end_turn,
5,1,5,¿Sabrías decirme qué número de prescripciones hay registradas en total?,claude-opus-5-5,ok,81,0,0,461,76,385,206,907,5.6896,end_turn,
6,2,1,¿Me puedes decir cuantos pctes con prescripciones hay?,claude-opus-5-5,ok,79,0,0,481,65,416,134,981,6.0453,end_turn,
7,2,2,Dime cuantos pacientes con prescripciones hay,claude-opus-5-5,ok,73,0,0,482,68,414,202,952,5.5336,end_turn,
8,2,3,Necesito saber cuantos pctes con prescripciones existen,claude-opus-5-5,ok,75,0,0,718,78,640,234,1444,7.5803,end_turn,
9,2,4,Quiero saber cuantos pctes con prescripciones hay,claude-opus-5-5,ok,75,0,0,728,151,577,251,1315,7.3431,end_turn,
10,2,5,¿Sabrías decirme qué número de pctes con prescripciones hay?,claude-opus-5-5,ok,80,0,0,413,58,355,209,810,5.5296,end_turn,
11,3,1,"¿Me puedes decir cuántos diagnósticos de anatomía patológica hay en total, contando todas las muestras?",claude-opus-5-5,ok,95,0,0,288,55,233,182,561,3.5751,end_turn,
12,3,2,"Dime cuántos diagnósticos de anatomía patológica hay en total, contando todas las muestras",claude-opus-5-5,ok,88,0,0,265,55,210,213,535,4.1441,end_turn,
13,3,3,"Necesito saber cuántos diagnósticos de anatomía patológica existen en total, contando todas las muestras",claude-opus-5-5,ok,91,0,0,591,98,493,264,1109,6.2087,end_turn,
14,3,4,"Quiero saber cuántos diagnósticos de anatomía patológica hay en total, contando todas las muestras",claude-opus-5-5,ok,91,0,0,522,71,451,213,1064,5.9974,end_turn,
15,3,5,"¿Sabrías decirme qué número de diagnósticos de anatomía patológica hay en total, contando todas las muestras?",claude-opus-5-5,ok,96,0,0,281,60,221,166,541,4.3017,end_turn,
16,4,1,¿Me puedes decir cuántos episodios distintos tienen al menos un diagnóstico de Anatomía Patológica?,claude-opus-5-5,ok,97,0,0,717,147,570,328,1205,7.2332,end_turn,
17,4,2,Dime cuántos episodios distintos tienen al menos un diagnóstico de Anatomía Patológica,claude-opus-5-5,ok,90,0,0,563,81,482,225,1063,6.5541,end_turn,
18,4,3,Necesito saber cuántos episodios distintos tienen al menos un diagnóstico de Anatomía Patológica,claude-opus-5-5,ok,93,0,0,879,230,649,466,1351,8.604,end_turn,
19,4,4,Quiero saber cuántos episodios distintos tienen al menos un diagnóstico de Anatomía Patológica,claude-opus-5-5,ok,93,0,0,1052,275,777,332,1598,10.1368,end_turn,
20,4,5,¿Sabrías decirme qué número de episodios distintos tienen al menos un diagnóstico de Anatomía Patológica?,claude-opus-5-5,ok,98,0,0,673,135,538,232,1163,7.7812,end_turn,
21,5,1,"¿Me puedes decir me desglosas las prescripciones según el ámbito donde se generaron, para ver cuántas hay en cada uno?",claude-opus-5-5,ok,102,0,0,716,144,572,397,1188,7.731,end_turn,
22,5,2,"Dime me desglosas las prescripciones según el ámbito donde se generaron, para ver cuántas hay en cada uno",claude-opus-5-5,ok,95,0,0,508,119,389,309,884,5.8508,end_turn,
23,5,3,"Necesito saber me desglosas las prescripciones según el ámbito donde se generaron, para ver cuántas existen en cada uno",claude-opus-5-5,ok,98,0,0,820,150,670,325,1426,8.8919,end_turn,
24,5,4,"Quiero saber me desglosas las prescripciones según el ámbito donde se generaron, para ver cuántas hay en cada uno",claude-opus-5-5,ok,98,0,0,700,130,570,295,1234,7.3087,end_turn,
25,5,5,"¿Sabrías decirme me desglosas las prescripciones según el ámbito donde se generaron, para ver qué número de hay en cada uno?",claude-opus-5-5,ok,103,0,0,652,132,520,301,1124,6.8688,end_turn,
26,6,1,¿Me puedes decir cuántos pacientes distintos han pasado por la UCI?,claude-opus-5-5,ok,84,0,0,550,71,479,196,1024,5.9419,end_turn,
27,6,2,Dime cuántos pacientes distintos han pasado por la UCI,claude-opus-5-5,ok,77,0,0,613,76,537,224,1132,6.3489,end_turn,
28,6,3,Necesito saber cuántos pacientes distintos han pasado por la UCI,claude-opus-5-5,ok,80,0,0,711,172,539,296,1108,7.3741,end_turn,
29,6,4,Quiero saber cuántos pacientes distintos han pasado por la UCI,claude-opus-5-5,ok,80,0,0,717,95,622,207,1311,9.0273,end_turn,
30,6,5,¿Sabrías decirme qué número de pacientes distintos han pasado por la UCI?,claude-opus-5-5,ok,85,0,0,601,144,457,328,991,6.452,end_turn,
31,7,1,¿Me puedes decir cuantas cirugias se han empezao desde el 6 de agosto de 2024?,claude-opus-5-5,ok,91,0,0,585,135,450,260,990,6.3495,end_turn,
32,7,2,Dime cuantas cirugias se han empezao desde el 6 de agosto de 2024,claude-opus-5-5,ok,84,0,0,590,102,488,317,1088,6.1441,end_turn,
33,7,3,Necesito saber cuantas cirugias se han empezao desde el 6 de agosto de 2024,claude-opus-5-5,ok,87,0,0,703,78,625,257,1301,7.4707,end_turn,
