id,orig_id,variante,pregunta,model,status,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens,thinking_tokens,text_tokens,thinking_chars,text_chars,time_s,stop_reason,error
1,1,1,¿Me puedes decir cuantas prescripciones hay registradas en total?,claude-opus-5-5,ok,80,0,0,492,58,434,149,964,5.8496,end_turn,
2,1,2,Dime cuantas prescripciones hay registradas en total,claude-opus-5-5,ok,73,0,0,375,55,320,220,744,5.0532,end_turn,
3,1,3,Necesito saber cuantas prescripciones existen registradas en total,claude-opus-5-5,ok,76,0,0,657,68,589,248,1314,7.2016,end_turn,
4,1,4,Quiero saber cuantas prescripciones hay documentadas en total,claude-opus-5-5,ok,77,0,0,318,47,271,173,700,4.6664,end_turn,
5,1,5,¿Sabrías decirme qué número de prescripciones hay registradas en total?,claude-opus-5-5,ok,81,0,0,366,65,301,181,710,4.7584,end_turn,
6,2,1,¿Me puedes decir cuantos pctes con prescripciones hay?,claude-opus-5-5,ok,79,0,0,479,69,410,176,924,5.78,end_turn,
7,2,2,Dime cuantos pacientes con prescripciones hay,claude-opus-5-5,ok,73,0,0,499,65,434,219,973,6.5968,end_turn,
8,2,3,Necesito saber cuantos pctes con prescripciones existen,claude-opus-5-5,ok,75,0,0,650,65,585,186,1268,7.2001,end_turn,
9,2,4,Quiero saber cuantos pctes con prescripciones hay,claude-opus-5-5,ok,75,0,0,751,150,601,336,1290,7.5018,end_turn,
10,2,5,¿Sabrías decirme qué número de pctes con prescripciones hay?,claude-opus-5-5,ok,80,0,0,630,71,559,212,1239,7.4123,end_turn,
11,3,1,"¿Me puedes decir cuántos diagnósticos de anatomía patológica hay en total, contando todas las muestras?",claude-opus-5-5,ok,95,0,0,321,55,266,190,649,3.9999,end_turn,
12,3,2,"Dime cuántos diagnósticos de anatomía patológica hay en total, contando todas las muestras",claude-opus-5-5,ok,88,0,0,253,54,199,209,482,3.2753,end_turn,
13,3,3,"Necesito saber cuántos diagnósticos de anatomía patológica existen en total, contando todas las muestras",claude-opus-5-5,ok,91,0,0,949,228,721,323,1539,9.4457,end_turn,
14,3,4,"Quiero saber cuántos diagnósticos de anatomía patológica hay en total, contando todas las muestras",claude-opus-5-5,ok,91,0,0,437,64,373,160,893,5.5684,end_turn,
15,3,5,"¿Sabrías decirme qué número de diagnósticos de anatomía patológica hay en total, contando todas las muestras?",claude-opus-5-5,ok,96,0,0,404,63,341,151,840,5.0469,end_turn,
16,4,1,¿Me puedes decir cuántos episodios distintos tienen al menos un diagnóstico de Anatomía Patológica?,claude-opus-5-5,ok,97,0,0,647,70,577,270,1198,6.6729,end_turn,
17,4,2,Dime cuántos episodios distintos tienen al menos un diagnóstico de Anatomía Patológica,claude-opus-5-5,ok,90,0,0,547,86,461,270,978,5.6205,end_turn,
18,4,3,Necesito saber cuántos episodios distintos tienen al menos un diagnóstico de Anatomía Patológica,claude-opus-5-5,ok,93,0,0,801,194,607,336,1282,8.1394,end_turn,
19,4,4,Quiero saber cuántos episodios distintos tienen al menos un diagnóstico de Anatomía Patológica,claude-opus-5-5,ok,93,0,0,845,197,648,234,1314,8.1419,end_turn,
20,4,5,¿Sabrías decirme qué número de episodios distintos tienen al menos un diagnóstico de Anatomía Patológica?,claude-opus-5-5,ok,98,0,0,748,101,647,292,1347,8.1373,end_turn,
