id,orig_id,variante,pregunta,model,status,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,output_tokens,thinking_tokens,text_tokens,thinking_chars,text_chars,time_s,stop_reason,error
1,1,1,¿Cuál es el número total de prescripciones registradas?,claude-opus-5-5,ok,74,0,0,533,80,453,231,990,5.7687,end_turn,
2,1,2,¿Cuántas prescripciones en total se encuentran documentadas?,claude-opus-5-5,ok,78,0,0,215,47,168,175,435,4.4115,end_turn,
3,1,3,¿Cuál es la cantidad total de prescripciones que hay registradas?,claude-opus-5-5,ok,80,0,0,391,77,314,205,729,4.8117,end_turn,
4,1,4,¿Cuántos registros de prescripciones existen en total?,claude-opus-5-5,ok,74,0,0,404,56,348,244,784,4.8119,end_turn,
5,1,5,¿Cuál es el total de prescripciones documentadas?,claude-opus-5-5,ok,74,0,0,365,43,322,144,770,5.5279,end_turn,
6,2,1,¿Cuántos pacientes tienen prescripciones?,claude-opus-5-5,ok,74,0,0,522,65,457,217,995,5.7321,end_turn,
7,2,2,¿Cuál es el número de pacientes con prescripciones activas?,claude-opus-5-5,ok,77,0,0,602,71,531,239,1225,6.6549,end_turn,
8,2,3,¿Cuántos pacientes cuentan con prescripciones registradas?,claude-opus-5-5,ok,79,0,0,434,64,370,186,850,5.2201,end_turn,
9,2,4,¿A cuántos pacientes se les han asignado prescripciones?,claude-opus-5-5,ok,77,0,0,414,59,355,233,850,5.5202,end_turn,
10,2,5,¿Cuántos pacientes presentan prescripciones en el sistema?,claude-opus-5-5,ok,79,0,0,713,65,648,243,1448,7.5205,end_turn,
11,3,1,¿Cuál es el número total de diagnósticos de anatomía patológica considerando todas las muestras?,claude-opus-5-5,ok,89,0,0,365,53,312,193,728,4.5052,end_turn,
12,3,2,¿Cuántos diagnósticos patológicos se han registrado en total incluyendo cada una de las muestras?,claude-opus-5-5,ok,92,0,0,480,77,403,207,992,6.2477,end_turn,
13,3,3,"¿Cuál es la cantidad total de diagnósticos de patología, sumando todas las muestras analizadas?",claude-opus-5-5,ok,92,0,0,286,52,234,197,575,3.789,end_turn,
14,3,4,"¿Cuántos diagnósticos anatomo-patológicos hay en conjunto, considerando la totalidad de las muestras?",claude-opus-5-5,ok,98,0,0,278,57,221,182,557,5.2252,end_turn,
15,3,5,¿Cuál es el recuento total de diagnósticos de anatomía patológica de todas las muestras?,claude-opus-5-5,ok,89,0,0,409,55,354,235,840,4.7796,end_turn,
16,4,1,¿Cuántos episodios diferentes presentan como mínimo un diagnóstico de Anatomía Patológica?,claude-opus-5-5,ok,94,0,0,602,99,503,189,1033,6.9641,end_turn,
17,4,2,¿Cuál es el número de episodios únicos que cuentan con al menos un diagnóstico procedente de Anatomía Patológica?,claude-opus-5-5,ok,100,0,0,628,143,485,285,1067,7.2707,end_turn,
18,4,3,¿Cuántos episodios distintos poseen uno o más diagnósticos de Anatomía Patológica?,claude-opus-5-5,ok,91,0,0,723,154,569,339,1224,7.2921,end_turn,
19,4,4,¿Cuántos episodios diferentes tienen como mínimo algún diagnóstico confirmado por Anatomía Patológica?,claude-opus-5-5,ok,99,0,0,719,157,562,316,1196,7.2704,end_turn,
20,4,5,¿Cuál es la cantidad de episodios distintos que incluyen al menos un diagnóstico de Anatomía Patológica?,claude-opus-5-5,ok,99,0,0,748,150,598,276,1289,7.6785,end_turn,
21,5,1,¿Podrías desglosar las prescripciones por ámbito de generación para visualizar cuántas corresponden a cada uno?,claude-opus-5-5,ok,97,0,0,827,124,703,285,1564,9.4192,end_turn,
22,5,2,¿Me muestras el número de prescripciones agrupadas por el ámbito en el que fueron generadas?,claude-opus-5-5,ok,90,0,0,618,67,551,235,1179,6.348,end_turn,
23,5,3,¿Puedes segmentar las prescripciones según el ámbito donde se originaron y contar cuántas hay en cada ámbito?,claude-opus-5-5,ok,99,0,0,654,99,555,251,1207,7.532,end_turn,
